,isim,baslangicT,bitisTarih,sezonSayisi,sezonDurumu,tur,konuPuan,aktorS,oyuncuKadroPuan,imdb
20,Mahallenin Muhtarlari,1992,2002,11,olgun,Comedy,15.5,"Umut Açabuga,Naz Onel,Atilla Sendil,Aleyna Uçar",6.2125,6.0
21,Saygilar bizden,1992,1994,3,olgun,Comedy,16.0,"Kemal Sunal,Alev Oraloglu,Erol Demiröz,Hakan Haksun",7.258333333333333,7.3
22,Zeki Metince,1992,1993,2,basarili,Comedy,16.0,"Erdinç Akbas,Metin Akpinar,Zeki Alasya,Hayrettin Aslan",5.749166666666667,7.0
23,Tatli Betüs,1993,1995,3,olgun,Comedy,17.0,"Türkan Soray,Tarik Tarcan,Taner Barlas,Cem Davran",5.429166666666666,6.7
24,Süper Baba,1993,1997,5,olgun,Drama,16.333333333333332,"Sevket Altug,Sümer Tilmaç,Jülide Kural,Sevval Sam",7.874999999999999,8.7
25,Hastane,1993,1997,5,olgun,Comedy,16.0,"Zeki Alasya,Metin Akpinar,Betül Arim,Bilge Sen",5.536666666666667,6.0
26,Saban Askerde,1993,1995,3,olgun,Comedy,16.0,"Kemal Sunal,Dinçer Çekmez,Halit Akçatepe,Özlem Savas",6.928333333333334,6.7
27,Tanri misafiri,1993,1995,3,olgun,Drama,18.0,"Gamze Gözalan,Ebru Gündes,Serpil Tamur,Inanc Terzioglu",5.2124999999999995,5.2
28,Son söz sevginin,1993,1995,3,olgun,Drama,17.0,"Açelya Akkoyun,Mesut Akusta,Haluk Bilginer,Yildiray Sahinler",6.073333333333334,6.0
29,Gerçek Kesit,1993,1995,3,olgun,Action,15.0,"Mine Biçakçi,Perihan Savas,Cahit Kasikcilar,Yüsra Geyik",7.575000000000001,8.1
30,Yazlikçilar,1993,1998,6,olgun,Comedy,16.0,"Hakan Haksun,Zuhal Topal,Binnur Serbetçioglu,Müjgan Agrali",7.475,7.5
31,Sicagi Sicagina,1993,2009,17,olgun,Reality-TV,12.0,"Haluk Bilginer,Erdal Ugurlu,Ismail Hakki Akture,Coskun Ozturk",6.706666666666667,6.8
32,Ibo Show,1993,2011,19,olgun,Music,10.0,"Asena,Gulcin Ergul,Olgun Simsek,Sivga",5.9625,6.9
33,Ferhunde Hanimlar, 1993,1999,7,olgun,Drama,18.0,"Melek Baykal,Selahattin Bel,Egemen Erturk,Tamer Karadagli",6.3025,7.8
34,Kanal D Ana Haber,1993,1995,3,olgun,News,15.0,"Fatih Altayli,Deniz Arman,Buket Aydin,Mehmet Ali Birand",6.624999999999999,6.7
35,Sehnaz tango,1994,1997,4,olgun,Romance,16.0,"Perran Kutman,Erdal Özyagcilar,Füsun Demirel,Nuray Uslu",6.657500000000001,6.6
36,Sevginin gücü,1994,1996,3,olgun,Romance,16.0,"Hülya Avsar,Tolga Savaci,Tarik Tarcan,Engin Koç",4.805,4.7
37,Bay Kamber,1994,1996,3,olgun,Comedy,16.0,"Kemal Sunal,Ebru Simsek,Serdar Bordonaci,Emrah Demirci",7.083333333333334,7.1
38,Kaygisizlar,1994,1998,5,olgun,Comedy,16.0,"Suzan Akay,Halit Akçatepe,Hakan Altuntas,Isik Aras",7.185,8.2
39,Siyaset meydani,1994,1996,3,olgun,Mystery,13.666666666666666,"Ali Kirca,Türker Inanoglu,Tarik Akan,Güneri Civaoglu",4.7625,4.5
40,Gülsen Abi,1994,1996,3,olgun,Comedy,16.0,"Nilüfer Açikalin,Haluk Bilginer,Halit Ergenç,Selim Nasit",6.69,7.2
41,Televole,1994,2005,12,olgun,Sport,12.0,"Melih Gümüsbiçak,Acun Ilicali,Kaan Uguralp",4.283333333333333,4.1
42,Bizim ev,1995,1997,3,olgun,Drama,18.0,"Nilgün Akçaoglu,Cüneyt Arkin,Elçin Avci,Ümit Belen",5.7025,5.7
43,Bir Demet Tiyatro,1995,1997,3,olgun,Comedy,15.5,"Demet Akbag,Yilmaz Erdogan,Suat Sungur,Engin Günaydin",7.753125000000001,8.4
44,Çiçek taksi,1995,2003,9,olgun,Comedy,17.0,"Erol Günaydin,Cengiz Küçükayvaz,Gül Gölge,Ümit Yesin",5.5874999999999995,6.1
45,Firtinalar,1995,1997,3,olgun,Drama,18.0,"Kerem Alisik,Hilal Aslangiray,Nuray Deveci,Ebru Gündes",5.465,5.3
46,Bosgezen ve kalfasi,1995,1997,3,olgun,Comedy,15.0,"Ferhan Sensoy,Suna Pekuysal,Derya Baykal,Rasim Öztekin",6.220000000000001,6.2
47,Reyting Hamdi,1995,2007,13,olgun,Comedy,16.0,"Meriç Acemi,Hamdi Alkan,Pinar Altug,Ferdi Atuner",5.616666666666667,5.5
48,Gözlerinde son gece,1996,1998,3,olgun,Romance,16.0,"Türkan Soray,Rutkay Aziz,Kaan Girgin,Dilek Turker",4.925,4.5
49,Tatli Kaçiklar,1996,2001,6,olgun,Comedy,16.0,"Mehmet Ali Erbil,Yalçin Mentes,Buket Dereoglu,Neslihan Yeldan",5.410416666666666,6.5
50,Sasifelek Çikmazi,1996,1998,3,olgun,Drama,18.0,"Suzan Aksoy,Derya Alabora,Sinan Albayrak,Betül Arim",6.28125,8.0
51,Kaldirim cicegi,1996,1998,3,olgun,Drama,18.0,"Kürsat Alniaçik,Duygu Ankara,Hande Ataizi,Nilüfer Aydan",4.946666666666666,4.8
52,Çilgin Bedis,1996,1998,3,olgun,Comedy,15.333333333333334,"Halit Akçatepe,Müge Arda,Mustafa Arslan,Sonay Aydin",6.1575,5.8
53,Beyaz Show,1996,1998,3,olgun,Talk-Show,14.0,"Beyaz,Wilma Elles,Demet Akalin,Deniz Seki",6.4125,7.2
54,Huysuz ve tatli kadin,1996,2001,6,olgun,Comedy,15.0,"Seyfi Dursunoglu,Yalçin Mentes,Burçin Orhon,Süheyl Uygur",4.6083333333333325,4.1
55,Sut Kardesler,1996,1998,3,olgun,Comedy,16.0,"Kemal Kuruçay,Naz Onel,Ahmet Ugurlu",7.45,7.7
56,Ramazan 96,1996,1998,3,olgun,Musical,5.0,"Hülya Böceklioglu,Münir Canar,Muzaffer Guvenc,Nuri Gökasan",7.1,7.1
57,Kamber Aga,1996,1998,3,olgun,Comedy,16.0,"Metin Bilgin,Ergin Eren,Bersun Gorica,Hakan Guven",7.54375,7.5
58,Aynalar,1996,1997,2,basarili,Documentary,8.0,"Can Dündar,Sezen Aksu,Orhan Gencebay,Zeki Müren",7.058333333333334,6.9
59,Hülya Avsar show,1996,2014,19,olgun,Talk-Show,14.0,Hülya Avsar,4.119999999999999,5.2
60,Bu sevda bitmez,1996,1996,1,basarisiz,Adventure,17.0,"Deniz Akkaya,Duygu Ankara,Betül Arim,Arzu Atalay",4.5125,3.7
61,Sir kapisi,1996,2007,12,olgun,Drama,15.333333333333334,"Reha Yeprem,Erdogan Özeren,Gökhan Çelebi,M. Sitare Akbas",4.172916666666667,3.8
62,Baba evi,1997,2001,5,olgun,Drama,16.5,"Halil Ergün,Deniz Gökçer,Sevinç Erbulak,Mine Çayiroglu",6.097499999999999,6.7
63,Kara melek,1997,1999,3,olgun,Drama,18.0,"Turkan Derya,Sanem Çelik,Ece Uslu,Mustafa Alabora,Zerrin Arbas",6.031666666666666,6.5
64,Böyle mi olacakti,1997,2003,7,olgun,Drama,18.0,"Açelya Akkoyun,Kerem Alisik,Selda Alkor,Yasar Alptekin",5.094166666666666,3.2
65,Firat,1997,1999,3,olgun,Drama,18.0,"Funda Barin,Gülben Ergen,Atilla Pakdemir,Ibrahim Tatlises",3.5166666666666666,3.3
66,Ruhsar,1997,2001,5,olgun,Comedy,15.333333333333334,"Hande Ataizi,Cem Davran,Göksel Kortay,Hakan Gerçek",5.1425,5.8
67,Deli divane,1997,1999,3,olgun,Drama,18.0,"Gökhan Arsoy,Dogan Aybay,Kenan Bal,Ebru Gündes",4.5175,4.1
68,Gülüm,1997,1999,3,olgun,Romance,16.0,"Sibel Can,Ebru Cündübeyoglu,Burak Sarimola,Volkan Severcan",3.708333333333333,1.7
69,Sidika,1997,2002,6,olgun,Comedy,16.0,"Ayla Algan,Füsun Demirel,Hasibe Eren,Ali Erkazan",6.1825,8.1
70,Aynali tahir,1998,2001,4,olgun,Drama,18.0,"Alisan,Tugba Özay,Melda Arat Mutlu,Hakan Elyildirim",3.2729166666666663,3.3
71,Ikinci Bahar,1998,2001,4,olgun,Comedy,16.333333333333332,"Türkan Soray,Sener Sen,Nedim Saban,Güven Hokna",7.555,8.7
72,Marziye,1998,2000,3,olgun,Drama,17.0,"Gülben Ergen,Kadir Inanir,Ekrem Bora,Nilüfer Aydan",4.387499999999999,2.9
73,Deli Yürek,1998,2002,5,olgun,Adventure,16.666666666666668,"Bahar Akça,Kürsat Alniaçik,Mürüvet Arik,Nejmi Aykar",6.728333333333333,7.5
74,Sicak saatler,1998,2000,3,olgun,Adventure,17.0,"Kürsat Alniaçik,Hilal Aslangiray,Mehmet Aslantug,Iclal Aydin",6.388690476190476,7.6
75,Zaga,1998,2000,3,olgun,Comedy,15.0,Okan Bayülgen,6.8,7.6
76,Affet bizi hocam,1998,2000,3,olgun,Drama,18.0,"Mesut Akusta,Bulut Aras,Turgut Arseven,Nilüfer Aydan",5.7749999999999995,6.2
77,Üvey baba,1998,2004,7,olgun,Drama,18.0,"Burçin Abdullah,Betül Asçioglu,Ceyda Ates,Istemi Betil",5.86875,6.4
78,Unutabilsem,1998,1999,2,basarili,Drama,18.0,"Tugrul Arsever,Suzan Avci,Sühan Bardar,Burcu Basaran",4.2625,3.9
79,Çocuktan Al Haberi,1998,2000,3,olgun,Comedy,14.0,"Berna Laçin,Bergüzar Korel,Açelya Akkoyun,Evrim Akin",5.109166666666667,4.4
80,Eyvah Babam,1998,2000,3,olgun,Comedy,16.0,"Yildiz Asyali,Haluk Bilginer,Nesrin Isçi,Alp Korkmaz",6.394166666666667,6.6
81,Bücür cadi,1999,2001,3,olgun,Comedy,16.333333333333332,"Yunus Bülbül,Merve Erdogan,Sezer Güvenirgil,Müge Oruçkaptan",2.8125,2.8
82,Yilan Hikayesi,1999,2002,4,olgun,Adventure,16.0,"Memet Ali Alabora,Meltem Cumbul,Ayten Gökçer,Damla Ersubasi",5.783333333333333,6.4
83,Askin daglarda gezer,1999,2001,3,olgun,Drama,18.0,"Özcan Deniz,Sevval Sam,Haldun Boysan,Ipek Tuzcuoglu",4.8879166666666665,3.8
84,Ayrilsak da beraberiz,1999,2004,6,olgun,Comedy,15.5,"Meriç Acemi,Birgen Engin,Nami Esatgil,Idil Firat",6.895833333333334,7.2
85,Bizim sokak,1999,2000,2,basarili,Adventure,17.0,"Ciguli,Mete Yavasoglu,Peri Mehtap Çiçek,Murat Öncül",6.2,6.2
86,Hayat baglari,2000,2002,3,olgun,Drama,16.5,"Melek Baykal,Tomris Oguzalp,Kenan Pars,Zehra Alptürk",5.137499999999999,5.6
87,Karakolda ayna var,2000,2002,3,olgun,Comedy,16.0,"Müjde Ar,Erdal Özyagcilar,Avni Yalçin,Suavi Eren",5.8375,5.1
88,Üzgünüm Leyla,2000,2002,3,olgun,Comedy,16.0,"Perran Kutman,Selçuk Yöntem,Çetin Tekindor,Yeliz Tozan",6.78125,7.3
89,Merdoglu,2000,2002,3,olgun,Adventure,17.0,"Pitircik Akerman,Mehmet Aslantug,Haldun Boysan,Kerem Kobanbay",4.836607142857142,4.6
90,Zehirli çiçek,2000,2002,3,olgun,Drama,18.0,"Münir Akça,Kerem Alisik,Görkem Aribol,Günes Berberoglu",3.8649999999999998,3.0
91,Ana kuzusu,2000,2002,3,olgun,Comedy,16.0,"Önder Açikalin,Aysen Barutçuoglu,Aysen Gruda,Perihan Savas",6.575000000000001,6.4
92,Eyvah kizim büyüdü,2000,2002,3,olgun,Comedy,16.0,"Sebnem Dönmez,Hakan Altuntas,Yildiz Asyali,Haluk Bilginer",6.234166666666666,5.3
93,Baykuslarin saltanati,2000,2001,2,basarili,Drama,18.0,"Metin Akpinar,Ilker Aksum,Kerem Alisik,Nilgün Belgün",5.272348484848485,6.4
94,Evdeki yabanci,2000,2002,3,olgun,Comedy,16.0,"Berna Laçin,Tardu Flordun,Oya Aydogan,Ayça Bingöl",5.465,5.8
95,7 Numara,2000,2003,4,olgun,Comedy,16.333333333333332,"Nuray Uslu,Volkan Adiyaman,Engin Hepileri,Erçin Sicakkan",7.186249999999999,8.6
96,Saksidaki Agac,2000,2001,2,basarili,Action,17.0,"Ali Seckiner Alici,Dersu Yavuz Altun,Ramazan Arman,Alpay K. Atalan",7.175,7.5
97,Karate Can,2000,2002,3,olgun,Adventure,16.5,"Kerim Afsar,Erol Alpsoykan,Özlem Argon,Cüneyt Arkin",4.04,3.0
98,Kim 500 milyar ister?,2000,2002,3,olgun,Game-Show,12.0,"Kenan Isik,Haluk Bilginer,Selçuk Yöntem,Murat Yildirim",6.7725,7.8
99,Çarli Is Basinda,2000,2000,1,basarisiz,Comedy,16.0,"Ilker Aksum,Berrin Arisoy,Yalçin Avsar,Durul Bazan",5.909848484848486,6.4
100,Yeditepe Istanbul,2001,2002,2,basarili,Comedy,16.333333333333332,"Zuhal Olcay,Ugur Polat,Emre Kinay,Ruhi Sari",6.177619047619047,8.3
101,Tatli Hayat,2001,2004,4,olgun,Comedy,15.5,"Asli Altaylar,Ceyda Ates,Nami Esatgil,Demet Evgar",6.7125,8.4
102,Dadi,2001,2002,2,basarili,Comedy,15.5,"Gülben Ergen,Kenan Isik,Haldun Dormen,Seray Sever",5.35,6.3
103,Biri bizi gözetliyor,2001,2003,3,olgun,Documentary,10.0,"Sefik Ates Meric,Öykü Serter",3.3,3.3
104,Hirsiz,2001,2003,3,olgun,Adventure,17.0,"Enis Arikan,Yavuz Arlisu,Mehmet Aslantug,Istemi Betil",5.8032738095238106,5.0
105,Nisan yagmuru,2001,2003,3,olgun,Drama,17.0,"Evrim Akin,Betül Arim,Mustafa Arslan,Murat Daltaban",5.604166666666666,5.7
106,Askim askim,2001,2003,3,olgun,Comedy,16.0,"Ali Atay,Nur Bal,Durul Bazan,Sedef Bildik",5.183333333333334,4.4
107,Derman Bey,2001,2003,3,olgun,Drama,18.0,"Kadir Inanir,Yasemin Kosal,Aylin Arasil,Basak Sayan",4.7125,4.2
108,Dünya varmis,2001,2003,3,olgun,Comedy,16.0,"Selin Türkoglu,Cevdet Aricilar,Serhan Arslan,Ozan Güven",7.0625,7.5
109,Çifte bela,2001,2003,3,olgun,Comedy,16.0,"Mümtaz Sevinç,Gül Onat,Ayse Tolga,Nadide Sultan",4.3125,4.0
110,Yeni hayat,2001,2003,3,olgun,Drama,18.0,"Fikret Hakan,Nebahat Çehre,Hakan Ural,Nefise Karatay",5.470833333333333,5.0
111,Cinlerle Periler,2001,2003,3,olgun,Action,16.0,"Suzan Acun,Volkan Adiyaman,Murat Ahlatçi,Kaya Akarsu",4.105,3.6
112,Tutku cemberi,2001,2002,2,basarili,Drama,18.0,"Tayfun Eraslan,Nurhayat Kavrak,Çetin Tekindor,Levent Ülgen",5.21875,5.2
113,Yeraltinda Dunya Var,2001,2003,3,olgun,Adventure,15.666666666666666,"Mustafa Ugurlu,Yesim Büber,Nihat Ileri,Nihan Durukan",6.077500000000001,5.8
114,Bes Dakikalik Bir Mesele, 2001,2003,3,olgun,Drama,18.0,"Metin Bilgin,Armoni Dikim,Koray Ergun,Can George Fenn",7.65625,7.7
115,Bes Dakikalik Bir Mesele, 2001,2003,3,olgun,Drama,18.0,"Metin Bilgin,Armoni Dikim,Koray Ergun,Can George Fenn",7.65625,7.6
116,Korsan TV,2001,2003,3,olgun,Comedy,16.0,Ata Demirer,7.2,7.2
117,Sultan,2001,2001,1,basarisiz,Drama,18.0,"Esra Arslan,Melih Atalay,Mürsit Bag,Taner Barlas",4.2,3.4
118,Vay Anam Vay,2001,2002,2,basarili,Comedy,16.0,"Tülin Ayhan,Alev Cinbarci,Cem Davran,Fatih Dogan",6.066666666666666,6.5
119,Koçum benim,2002,2004,3,olgun,Comedy,14.0,"Tarik Akan,Baris Aksavas,Ferit Aktug,Bahar Akça",6.195,6.7
120,Karaoglan,2002,2004,3,olgun,Adventure,17.0,"Kaan Urgancioglu,Serdar Gökhan,Tuba Ünsal,Mehmet Akif Asmaz",5.908333333333333,6.1
121,Asmali konak,2002,2004,3,olgun,Drama,18.0,"Özcan Deniz,Nurgül Yesilçay,Hakan Boyav,Hakan Vanli",5.365,5.9
122,Ask ve gurur,2002,2004,3,olgun,Romance,16.0,"Yildiz Kenter,Can Gürzap,Basak Köklükaya,Burak Sergen",6.0,6.6
123,Çocuklar duymasin,2002,2004,3,olgun,Comedy,15.5,"Pinar Altug,Furkan Kizilay,Tamer Karadagli,Aysecan Tatari",4.806666666666667,4.9
124,Ekmek teknesi,2002,2004,3,olgun,Comedy,17.0,"Zafer Ergin,Gökhan Çelebi,Selin Dilmen,Açelya Akkoyun",5.845833333333334,8.0
125,Zerda,2002,2004,3,olgun,Romance,16.0,"Ece Uslu,Yavuz Bingöl,Derya Artemel,Ipek Atagün",4.8237499999999995,4.6
126,Bayanlar baylar,2002,2004,3,olgun,Comedy,16.0,"Mansur Ark,Hande Ataizi,Yavuz Bingöl,Belma Canciger",4.0600000000000005,3.6
127,Biz size asik olduk,2002,2004,3,olgun,Comedy,16.0,"Erdem Akakçe,Ilker Aksum,Sevinç Gürsen Akyildiz,Ayla Algan",6.805681818181818,7.4
128,Kinali kar,2002,2004,3,olgun,Drama,18.0,"Emrah,Özlem Conker,Mustafa Avkiran,Nurseli Idiz",5.354166666666666,4.1
129,Asli ile Kerem,2002,2004,3,olgun,Comedy,16.0,"Sebnem Dönmez,Ozan Güven,Demet Evgar,Ilker Ayrik",6.733333333333333,6.7
130,Ti Show,2002,2004,3,olgun,Comedy,16.0,"Haluk Bilginer,Emrah Elçiboga,Burcak Isiner,Salih Kalyon",6.081666666666667,6.0
131,Besik kertmesi,2002,2004,3,olgun,Comedy,16.0,"Ilker Aksum,Meltem Cumbul,Engin Hepileri,Bülent Polat",6.1744318181818185,5.6
132,Bizim evin halleri,2002,2004,3,olgun,Comedy,15.5,"Feray Darici,Mert Firat,Zafer Gokcek,Serhat Mustafa Kiliç",5.626666666666667,5.8
133,En son babalar duyar,2002,2004,3,olgun,Comedy,15.5,"Hatice Aslan,Aysegül Atik,Jale Azakli,Arzu Balkan",5.949999999999999,6.1
134,Ev hali,2002,2004,3,olgun,Comedy,16.0,"Korhan Abay,Peker Açikalin,Esin Eden,Seray Sever",3.3249999999999997,2.9
135,Iki arada,2002,2004,3,olgun,Comedy,16.0,"Açelya Akkoyun,Hakan Altuntas,Doga Bekleriz,Gizem Güven",5.069166666666667,4.6
136,Çekirdek aile,2002,2004,3,olgun,Comedy,16.0,"Ayda Aksel,Bahar Akça,Mazhar Alanson,Kartal Balaban",6.445,6.1
137,Kirik ayna,2002,2004,3,olgun,Drama,18.0,"Kadir Inanir,Yesim Büber,Burak Hakki,Nesrin Akdag",5.5525,6.2
138,Kumsaldaki izler,2002,2004,3,olgun,Drama,18.0,"Erdinç Akbas,Ebru Akel,Nazan Ayas,Erol Aydin",5.112500000000001,4.4
139,Kuzenlerim,2002,2004,3,olgun,Comedy,15.5,"Sevinç Gürsen Akyildiz,Irem Arslan Aydin,Ceren Benderlioglu,Ihsan Bilsev",6.189583333333333,6.4
140,Lahmacun ve pizza,2002,2004,3,olgun,Comedy,16.0,"Durul Bazan,Necati Bilgiç,Mesut Ceylan,Bedia Ener",4.679166666666667,4.5
141,Pembe patikler,2002,2004,3,olgun,Comedy,16.0,"Oya Aydogan,Avni Danyal,Hüseyin Avni Danyal,Süreyya Davulcuoglu",5.6,5.4
142,Seni Yasatacagim,2002,2004,3,olgun,Drama,18.0,"Yetkin Dikinciler,Berna Laçin,Can Gürzap,Onur Rüzgar Erkoçlar",5.569166666666667,5.5
143,Hastayim doktor,2002,2004,3,olgun,Comedy,16.0,"Ceyda Düvenci,Mehmet Ali Erbil,Dursun Ali Sarioglu,Seda Sayan",2.9979166666666663,2.3
144,Yeter anne,2002,2004,3,olgun,Comedy,16.0,"Derya Baykal,Celal Belgil,Asu Emre,Ruhsar Gültekin",6.625,7.5
145,Yarim elma,2002,2004,3,olgun,Comedy,15.5,"Bahar Akça,Mehmet Aslan,Selim Erdogan,Selma Ergeç",6.12625,5.7
146,Besibiryerde,2002,2004,3,olgun,Comedy,16.0,"Demir Demirkan,Berke Üzrek,Özgü Namal,Demet Söz",4.38125,3.9
147,Grafi2000 Comedy,2002,2004,3,olgun,Comedy,16.0,Varol Yasaroglu,7.4,7.4
148,Derya&Deniz,2002,2004,3,olgun,Drama,18.0,"Özlem Conker,Sencan Güleryüz,Tarik Pabuccuoglu,Iskender Bagcilar",5.925,6.3
149,O gün,2002,2003,2,basarili,Documentary,10.0,"Can Dündar,Hikmet Bil,Oktay Engin,Ara Güler",7.508333333333334,7.5
150,G.a.g.,2002,2004,3,olgun,Comedy,16.0,Gülse Birsel,7.525,7.7
151,Sultan Makami,2003,2005,3,olgun,Drama,18.0,"Basak Köklükaya,Sevket Çoruh,Kerem Atabeyoglu,Özge Borak",6.255833333333333,7.5
152,Esir sehrin insanlari,2003,2005,3,olgun,Drama,18.0,"Emre Kinay,Basak Köklükaya,Fikret Kuskan,Zeynep Tokus",6.580952380952381,7.5
153,Ask olsun,2003,2004,2,basarili,Romance,16.0,"Suzan Aksoy,Ilker Aksum,Talat Bulut,Rojda Demirer",5.667556818181819,4.8
154,Bir Istanbul masali,2003,2005,3,olgun,Drama,18.0,"Ahu Türkpençe,Mehmet Aslantug,Arsen Gürzap,Çetin Tekindor",6.00327380952381,6.5
155,Kursun yarasi,2003,2005,3,olgun,Adventure,17.0,"Berdan Mardini,Murat Çobangil,Serif Bozkurt,Timur Acar",5.862500000000001,6.3
156,Kurtlar Vadisi,2003,2005,3,olgun,Action,16.333333333333332,"Necati Sasmaz,Özgü Namal,Erdem Ergüney,Gürkan Uygun",6.6975,7.2
157,Alacakaranlik,2003,2005,3,olgun,Thriller,16.5,"Kenan Imirzalioglu,Ugur Yücel,Özkan Ugur,Volkan Adiyaman",6.89125,7.3
158,Gurbet kadini,2003,2005,3,olgun,Drama,18.0,"Meltem Cumbul,Burak Hakki,Fatma Girik,Mahmut Cevher",4.9,4.7
159,Hayat bilgisi,2003,2005,3,olgun,Comedy,15.5,"Gökçe Bahadir,Perran Kutman,Tarik Pabuccuoglu,Onur Özcan",6.325,6.2
160,Kampüsistan,2003,2005,3,olgun,Comedy,16.0,"Ferit Aktug,Burak Altay,Yusuf Atala,Elif Ataman",6.2625,6.0
161,Serseri asiklar,2003,2005,3,olgun,Drama,18.0,"Müjde Ar,Eren Balkan,Didem Balçin,Fatma Belgen",5.683333333333334,5.7
162,Serseri,2003,2005,3,olgun,Comedy,16.0,"Çetin Akçan,Osman Albayrak,Yasar Alptekin,Cüneyt Arkin",5.515000000000001,6.0
163,Sihirli Annem,2003,2012,10,olgun,Comedy,15.0,"Michele Cedolin,Gizem Güven,Sahap Sayilgan,Nevra Serezli",3.6625,3.3
164,Lise Defteri,2003,2004,2,basarili,Drama,17.0,"Mehmetcan Mincinozlu,Emre Altug,Akasya Asiltürkmen,Yagmur Atacan",5.597916666666666,5.5
165,Akademi Türkiye,2003,2005,3,olgun,Music,6.0,"Deniz Adali,Zeynel Abidin Aggül,Baris Akarsu,Pelin Akat",5.875,6.0
166,Büyümüs de küçülmüs,2003,2005,3,olgun,Comedy,16.0,"Sevinç Aktansel,Kerem Altaylar,Ömür Arpaci,Nilgün Belgün",3.9350000000000005,2.2
167,Estagfurullah yokusu,2003,2005,3,olgun,Romance,16.0,"Ümit Acar,Hande Ataizi,Nazan Ayas,Nehir Erdogan",4.707083333333333,6.1
168,Patron kim,2003,2005,3,olgun,Comedy,16.0,"Mürüvet Arik,Dean Baykan,Cem Davran,Ayten Gökçer",5.825,5.8
169,Sih Senem,2003,2005,3,olgun,Drama,18.0,"Cem Özer,Bulut Aras,Ihsan Baysal,Emre Bozdogan",6.454166666666667,6.5
170,En iyi arkadasim,2003,2007,5,olgun,Comedy,15.0,"Neslihan Acar,Ilayda Akdogan,Cem Aktas,Icmal Aktuna",6.15,6.4
171,Avrupa Yakasi,2004,2009,6,olgun,Comedy,16.0,"Gülse Birsel,Levent Üzümcü,Hale Caneroglu,Senay Gürler",7.327083333333333,8.4
172,Camdan pabuçlar,2004,2006,3,olgun,Comedy,16.0,"Tardu Flordun,Berke Hürcan,Didem Inselel,Serdar Kinaci",6.34375,6.9
